Date,AMZN,BA,DIS,IBM,KO,MSFT
2013-12-31,398.79,116.45,70.73,147.56,34.08,32.69
2014-01-02,397.97,116.6,70.61,145.96,33.54,32.47
2014-01-03,396.44,117.41,70.46,146.83,33.37,32.25
2014-01-06,393.63,118.09,70.2,146.33,33.22,31.57
2014-01-07,398.03,119.88,70.68,149.25,33.32,31.82
2014-01-08,401.92,120.14,69.64,147.88,32.95,31.25
2014-01-09,401.01,121.26,69.34,147.42,32.77,31.05
2014-01-10,397.66,121.06,69.8,147.32,33.1,31.49
2014-01-13,390.98,120.04,67.84,144.88,32.61,30.57
2014-01-14,397.54,119.45,68.93,146.27,32.74,31.27
2014-01-15,395.87,119.97,68.77,147.7,32.8,32.12
2014-01-16,395.8,119.62,68.71,148.5,32.76,32.24
2014-01-17,399.61,119.84,68.49,149.55,32.4,31.79
2014-01-21,407.05,120.87,68.7,148.24,32.93,31.61
2014-01-22,404.54,123.17,69.72,143.38,32.91,31.4
2014-01-23,399.87,120.56,69.24,143.76,32.37,31.51
2014-01-24,387.6,116.59,67.33,141.33,32.04,32.17
2014-01-27,386.28,117.19,66.89,139.96,31.95,31.48
2014-01-28,394.43,116.96,67.47,139.13,32.06,31.69
2014-01-29,384.2,110.72,66.04,138.78,31.26,32.03
2014-01-30,403.01,107.95,67.79,139.53,31.49,32.21
2014-01-31,358.69,106.87,67.22,139.0,31.2,33.07
2014-02-03,346.15,105.01,64.8,136.02,30.69,31.88
2014-02-04,347.95,104.12,65.78,135.98,30.92,31.76
2014-02-05,346.45,103.57,66.44,137.08,31.02,31.3
2014-02-06,354.59,104.66,69.96,138.17,31.37,31.62
2014-02-07,361.08,108.37,70.06,140.21,31.3,31.95
2014-02-10,360.87,108.49,71.34,140.12,31.82,32.16
2014-02-11,361.79,111.05,72.02,142.15,31.87,32.48
2014-02-12,349.25,109.93,72.13,142.58,31.77,32.74
2014-02-13,357.2,111.11,72.12,143.84,31.88,32.86
